,,,,,,,
QUEM,PIADA,,,,,,
@marcelogarcia93,Qual o nome da porca que fica enviando pacotes de dados para equipamentos a fim de testar a conectividade? R: Peppa Ping (cc @PiadasNerds ),,,,,,
 ‏@__Kyfer,Eu programo em PHP e a Taylor Swift,,,,,,
,,,,,,,
,Qual o elemento da tabela periódica com uma mãe vidente? R: Sódio. #MãeDiná,,,,,,
,,,,,,,
bio,mais por fora que esqueleto de barata,,,,,,
mat,mais por fora que x em evidência,,,,,,
qui,mais por fora do que J na tabela periódica,,,,,,
fis,"mais por fora do que ""tempo"" na equação de Torricelli.",,,,,,
hist,,,,,,,
huma,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"""De tanto levar, patada do Charizard. Meu Squirtle até, carece de HP..."" #AdoniranForNerds",,,,,,
,"""Não posso ficar nem mais um minuto sem 3G. Essa TIM, amor, quer me enlouquecer...""",,,,,,
,"""O Arnesto nos invitou, pra party - ele joga demais - nóis fumu mas não matemos ninguém.""",,,,,,
,,,,,,,
,"Pavê de Schrödinger, aquele que é pra ver e pra comer ao mesmo tempo. - Ideia para uma imagem.",,,,,,
,,,,,,,
,,,,,,,
Evandro Wengärtner,"manchete chocante: ""Tensão no oriente médio: uma corrente de boatos afirma que a resistência dos aliados está perdendo a potência"". PS tem imagem no facebook",,,,,,
,,,,,,,
Tulio Sartorelli,"Já perceberam que o Pero Vaz de Caminha e o Luiz Vaz de Camões? Fazer o que, cada um vaz com o que tem",,,,,,
,,,,,,,
Brendon Raffael,"""Por que o π não pode ser filósofo? Porque ele é irracional!""",,,,,,
,,,,,,,
Elaine Lopes Carvalho Vidal,Quem é que gosta mais de bolsa e óculos? R: O bebê .Porque ele fica 9 meses na bolsa amniótica.,,,,,,
,,,,,,,
Altamir Neto,"Qual nome que um musico colocaria na filha? R: Camila, pois ele poderia chama-la de Mi La",,,,,,
,,,,,,,
Jhonatan Bueno Garcia,Caixa da CAIXA em binário segue link https://www.facebook.com/CurtirPiadasNerds/messages/?index=14&mercurythreadid=user%3A100004460917519&threadid=100004460917519&timestamp=1447433569931,,,,,,
,,,,,,,
Antonio Victor,"""Na oração: O homem foi atendido pelo médico. Seria ""o homem"" sujeito paciente?""",,,,,Já foi,
,,,,,,,
,https://www.facebook.com/IAUPP/?fref=photo,,,,,,
,,,,,,,
Victor Ferber Dias,"Um vendedor de instrumentos musicais tentou atirar em mim, mas tudo bem, porque o que vende baixo não me atinge",,,,,,
,,,,,,,
Josué Fonseca,P: Qual o elemento químico mais zueiro da tabela periódica ?                                                        R: o Bromo (Br).,,,,,,
,,,,,,,
Sidnei Francisco de Sousa,"-No paradoxo entre Aquiles e a tartaruga, o que disse a tartaruga quando foi ultrapassada por Aquiles?
-Você está passando dos limites!!!!",,,,,,Já foi
,,,,,,,
Guilherme Henrique,Qual foi o animal que mais aterrorizou a terra-média? Resposta = o Tyranossauron Rex,,,,,,
